Movie Title,Year of Realease,Genre,Movie Rating,Duration,Gross,Worldwide LT Gross,Metascore,Votes,Logline
A Quiet Place Part II,2020,"Drama,Horror,Sci-Fi",7.2,97,$160.07M,"$297,372,261",71,"223,480","Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path."
Insurgent,2015,"Action,Adventure,Sci-Fi",6.2,119,$130.18M,"$297,002,527",42,"238,065",Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.
Look Who's Talking,1989,Comedy,5.9,93,$140.09M,"$296,999,813",51,"82,968","After a single, career-minded woman is left on her own to give birth to the child of a married man, she finds a new romantic chance in a cab driver. Meanwhile, the point-of-view of the newborn baby is narrated through voice-over."
Austin Powers in Goldmember,2002,"Action,Adventure,Comedy",6.2,94,$213.31M,"$296,938,801",62,"210,682","Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil."
Ghostbusters,1984,"Action,Comedy,Fantasy",7.8,105,$238.63M,"$296,578,797",71,"412,928","Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
Miss Peregrine's Home for Peculiar Children,2016,"Adventure,Drama,Family",6.7,127,$87.24M,"$296,482,446",57,"172,848","When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers."
X-Men,2000,"Action,Adventure,Sci-Fi",7.3,104,$157.30M,"$296,339,528",64,"614,160","In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men."
Ferdinand,2017,"Animation,Adventure,Comedy",6.7,108,$84.41M,"$296,069,199",58,"57,639","After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure."
Shutter Island,2010,"Mystery,Thriller",8.2,138,$128.01M,"$294,805,697",63,"1,296,006","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
Doctor Dolittle,1998,"Comedy,Family,Fantasy",5.4,85,$144.16M,"$294,456,605",46,"97,557",A doctor discovers that he can communicate with animals.
Bee Movie,2007,"Animation,Adventure,Comedy",6.1,91,$126.63M,"$293,514,336",54,"162,611","Barry B. Benson, a bee just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue them."
Salt,2010,"Action,Thriller",6.4,100,$118.31M,"$293,503,354",65,"314,928",A CIA agent goes on the run after a defector accuses her of being a Russian spy.
G-Force,2009,"Animation,Action,Adventure",5.1,88,$119.44M,"$292,817,898",41,"46,938",A specially trained squad of guinea pigs is dispatched to stop a diabolical billionaire from taking over the world.
The Departed,2006,"Crime,Drama,Thriller",8.5,151,$132.38M,"$291,480,452",85,"1,313,456",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
What Lies Beneath,2000,"Drama,Horror,Mystery",6.6,130,$155.46M,"$291,420,351",51,"127,055",The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.
Pacific Rim: Uprising,2018,"Action,Adventure,Fantasy",5.6,111,$59.87M,"$290,930,148",44,"117,714","Jake Pentecost, son of Stacker Pentecost, reunites with Mako Mori to lead a new generation of Jaeger pilots, including rival Lambert and 15-year-old hacker Amara, against a new Kaiju threat."
The Bourne Supremacy,2004,"Action,Mystery,Thriller",7.7,108,$176.24M,"$290,835,269",73,"463,217","When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
Sex and the City 2,2010,"Comedy,Drama,Romance",4.5,146,$95.35M,"$290,745,055",27,"80,235","While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie."
Shakespeare in Love,1998,"Comedy,Drama,History",7.1,123,$100.32M,"$289,317,794",87,"225,403","The world's greatest ever playwright, William Shakespeare, is young, out of ideas and short of cash, but meets his ideal woman and is inspired to write one of his most famous plays."
Divergent,2014,"Action,Adventure,Mystery",6.6,139,$150.95M,"$288,885,818",48,"459,513","In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late."
Coming to America,1988,"Comedy,Romance",7.1,117,$128.15M,"$288,752,301",47,"208,012","An extremely pampered African prince travels to Queens, New York, and goes undercover to find a wife that he can respect for her intelligence and strong will."
Wedding Crashers,2005,"Comedy,Romance",7.0,119,$209.22M,"$288,485,135",64,"355,945","John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary."
Bridesmaids,2011,"Comedy,Romance",6.8,125,$169.11M,"$288,383,523",75,"292,230","Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef."
Maze Runner: The Death Cure,2018,"Action,Adventure,Sci-Fi",6.2,143,$58.03M,"$288,175,335",50,"139,779","Young hero Thomas embarks on a mission to find a cure for a deadly disease known as ""The Flare""."
Casper,1995,"Comedy,Family,Fantasy",6.1,100,$100.33M,"$287,928,194",49,"134,656",An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.
American Pie 2,2001,Comedy,6.4,108,$145.10M,"$287,553,595",43,"256,365","Jim and his friends are now in college, and they decide to meet up at the beach house for some fun."
Pitch Perfect 2,2015,"Comedy,Music",6.4,115,$184.30M,"$287,144,079",63,"157,663","After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform."
The Green Mile,1999,"Crime,Drama,Fantasy",8.6,189,$136.80M,"$286,801,374",61,"1,287,659","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
Oblivion,2013,"Action,Adventure,Sci-Fi",7.0,124,$89.02M,"$286,168,572",54,"523,275",A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.
Elysium,2013,"Action,Drama,Sci-Fi",6.6,109,$93.05M,"$286,140,700",61,"447,585","In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds."
Lethal Weapon 4,1998,"Action,Crime,Thriller",6.6,127,$130.44M,"$285,444,603",37,"163,828","With personal crises and age weighing in on them, LAPD officers Riggs and Murtaugh must contend with deadly Chinese triads that are trying to free their former leaders out of prison and onto American soil."
John Carter,2012,"Action,Adventure,Sci-Fi",6.6,132,$73.08M,"$284,139,100",51,"273,135","Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior."
Turbo,2013,"Animation,Adventure,Comedy",6.4,96,$83.03M,"$282,570,682",58,"98,006",A freak accident might just help an everyday garden snail achieve his biggest dream: winning the Indy 500.
Paddington,2014,"Adventure,Comedy,Family",7.3,95,$76.27M,"$282,377,683",77,"116,693","A young Peruvian bear travels to London in search of a home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family, who offer him a temporary haven."
Bridget Jones's Diary,2001,"Comedy,Drama,Romance",6.7,97,$71.54M,"$281,995,610",66,"244,375",Bridget Jones is determined to improve herself while she looks for love in a year in which she keeps a personal diary.
Elvis,2022,"Biography,Drama,Music",7.5,159,******,"$281,050,000",64,"133,587","The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker."
The Tourist,2010,"Action,Thriller",6.0,103,$67.63M,"$278,780,441",37,"243,761","Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path."
Split,X2016,"Horror,Thriller",7.3,117,$138.29M,"$278,454,417",62,"492,904",Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.
Scary Movie,2000,Comedy,6.2,88,$157.02M,"$278,019,771",48,"261,175","A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer."
xXx,2002,"Action,Adventure,Thriller",5.8,124,$142.11M,"$277,448,382",48,"180,412","An extreme sports athlete, Xander Cage, is recruited by the government on a special mission."
The Bourne Legacy,2012,"Action,Adventure,Thriller",6.6,135,$113.20M,"$276,144,750",61,"302,627","An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films."
Mr. Peabody & Sherman,2014,"Animation,Adventure,Comedy",6.8,92,$111.51M,"$275,698,039",59,"70,857","The time-travelling adventures of an advanced canine and his adopted son, as they endeavor to fix a time rift they created."
Scooby-Doo,2002,"Adventure,Comedy,Family",5.2,89,$153.29M,"$275,678,613",35,"113,526","After an acrimonious break up, the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on."
Lincoln,2012,"Biography,Drama,History",7.3,150,$182.21M,"$275,293,450",86,"260,834","As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves."
Lara Croft: Tomb Raider,2001,"Action,Adventure,Fantasy",5.7,100,$131.14M,"$274,703,340",33,"209,775",Video game adventurer Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.
Tomb Raider,2018,"Action,Adventure,Fantasy",6.3,119,$58.25M,"$274,650,803",48,"214,377","Lara Croft (Alicia Vikander), the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft (Dominic West) disappeared."
The Expendables,2010,"Action,Adventure,Thriller",6.4,103,$103.07M,"$274,470,394",45,"345,745",A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.
Cloudy with a Chance of Meatballs 2,2013,"Animation,Adventure,Comedy",6.3,95,$119.79M,"$274,325,949",59,"103,707","Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational, and is churning out menacing food-animal hybrids."
The Nutty Professor,1996,"Comedy,Romance,Sci-Fi",5.7,95,$128.81M,"$273,961,019",62,"117,590",Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.
Jerry Maguire,1996,"Comedy,Drama,Romance",7.3,139,$153.95M,"$273,552,592",77,"266,680","When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague."
Bad Boys II,2003,"Action,Comedy,Crime",6.6,147,$138.61M,"$273,339,556",38,"251,049",Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel.
Lilo & Stitch,2002,"Animation,Adventure,Comedy",7.3,85,$145.79M,"$273,144,151",73,"190,832","A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace."
The Silence of the Lambs,1991,"Crime,Drama,Thriller",8.6,118,$130.74M,"$272,742,922",85,"1,417,393","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
Grown Ups,2010,Comedy,5.9,102,$162.00M,"$271,457,301",30,"252,573","After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend."
Neighbors,2014,Comedy,6.3,97,$150.16M,"$270,665,134",68,"310,752","After they are forced to live next to a fraternity house, a couple with a newborn baby do whatever they can to take them down."
The Firm,1993,"Drama,Mystery,Thriller",6.8,154,$158.35M,"$270,248,367",58,"135,417",A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.
We're the Millers,2013,"Comedy,Crime",7.0,110,$150.39M,"$269,994,119",44,"448,471",A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.
Gran Torino,2008,Drama,8.1,116,$148.10M,"$269,958,228",72,"772,591","Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
"10,000 BC",2008,"Action,Adventure,Drama",5.1,109,$94.78M,"$269,784,201",34,"131,624","In the prehistoric past, D'Leh is a mammoth hunter who bonds with the beautiful Evolet. When warriors on horseback capture Evolet and the tribesmen, D'Leh must embark on an odyssey to save his true love."
American Gangster,2007,"Biography,Crime,Drama",7.8,157,$130.16M,"$269,755,430",76,"425,928","An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
Epic,2013,"Animation,Action,Adventure",6.6,102,$107.52M,"$268,426,634",52,"105,754",A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group of characters in order to save their world -- and ours.
Exodus: Gods and Kings,2014,"Action,Adventure,Drama",6.0,150,$65.01M,"$268,175,631",52,"169,312","The defiant leader Moses rises up against Egyptian Pharaoh Ramses II, setting six hundred thousand slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues."
Bambi,1942,"Animation,Adventure,Drama",7.3,69,$102.80M,"$267,447,150",91,"143,403",The story of a young deer growing up in the forest.
The Princess and the Frog,2009,"Animation,Adventure,Comedy",7.1,97,$104.40M,"$267,045,765",73,"145,087","A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him."
Batman Returns,1992,"Action,Crime,Fantasy",7.1,126,$162.83M,"$266,915,287",68,"304,870","While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta."
Indecent Proposal,1993,"Drama,Romance",6.0,117,$106.61M,"$266,614,059",35,"71,950","A billionaire offers $1,000,000 to a young married couple for one night with the wife."
Something's Gotta Give,2003,"Comedy,Drama,Romance",6.7,128,$124.73M,"$265,328,738",66,"122,541",A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age.
Bridget Jones: The Edge of Reason,2004,"Comedy,Drama,Romance",6.0,108,$40.23M,"$265,126,918",44,"114,485","After finding love, Bridget Jones questions if she really has everything she'd ever dreamed of having."
The Incredible Hulk,2008,"Action,Adventure,Sci-Fi",6.6,112,$134.52M,"$264,770,996",61,"490,726","Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper."
Waterworld,1995,"Action,Adventure,Sci-Fi",6.2,135,$88.25M,"$264,218,220",56,"196,867","In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land."
The Truman Show,1998,"Comedy,Drama",8.2,103,$125.62M,"$264,118,201",90,"1,067,682",An insurance salesman discovers his whole life is actually a reality TV show.
Charlie's Angels,2000,"Action,Adventure,Comedy",5.6,98,$125.31M,"$264,105,545",52,"187,745","Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal."
The Fifth Element,1997,"Action,Adventure,Sci-Fi",7.6,126,$63.54M,"$263,920,180",52,"472,447","In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
Gisaengchung,2019,"Drama,Thriller",8.5,132,$53.37M,"$263,187,038",96,"783,071",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
Jumanji,1995,"Adventure,Comedy,Family",7.0,104,$100.48M,"$262,821,940",39,"344,655","When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game."
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Comedy,7.3,84,$128.51M,"$262,552,893",89,"408,397","Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson."
Robots,2005,"Animation,Adventure,Comedy",6.4,91,$128.20M,"$262,511,490",64,"147,947","In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management."
Knight and Day,2010,"Action,Adventure,Comedy",6.3,109,$76.42M,"$261,989,769",46,"196,876",A young woman gets mixed up with a disgraced spy who is trying to clear his name.
Total Recall,1990,"Action,Adventure,Sci-Fi",7.5,113,$119.39M,"$261,317,921",57,"330,462","When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?"
This Is It,2009,"Documentary,Drama,Music",7.2,111,$72.09M,"$261,183,588",67,"40,625","A compilation of interviews, rehearsals, and backstage footage of Michael Jackson as he prepared for his series of sold-out shows in London."
Terminator: Dark Fate,2019,"Action,Adventure,Sci-Fi",6.2,128,$62.25M,"$261,119,292",54,"177,281","An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race."
The Lone Ranger,2013,"Action,Adventure,Western",6.4,150,$89.30M,"$260,502,115",37,"235,219","Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice."
Super 8,2011,"Action,Mystery,Sci-Fi",7.0,112,$127.00M,"$260,095,986",72,"354,633","During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town."
Xun long jue,2015,"Action,Adventure,Drama",5.9,127,$1.24M,"$259,368,448",48,"3,992","In 1969 PRChina, two men survive a supernatural tomb. They later become tomb raiders with Shirley/Shu Qi. 20 years later in NYC, one is hired to find that tomb again and the 2 friends follow later."
Blade Runner 2049,2017,"Action,Drama,Mystery",8.0,164,$92.05M,"$259,352,064",81,"563,289","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
Charlie's Angels: Full Throttle,2003,"Action,Adventure,Comedy",4.9,106,$100.83M,"$259,175,788",48,"128,314",The Angels investigate a series of murders which occur after the theft of a witness protection profile database.
Rush Hour 3,2007,"Action,Comedy,Crime",6.2,91,$140.13M,"$258,097,122",44,"168,713","After an attempted assassination on Ambassador Han, Lee and Carter head to Paris to protect a French woman with knowledge of the Triads' secret leaders."
The Full Monty,1997,"Comedy,Drama",7.2,91,$45.95M,"$257,938,649",75,"106,869","Six unemployed steel workers form a male striptease act. The women cheer them on to go for ""the full monty"" - total nudity."
Gong fu yu jia,2017,"Action,Adventure,Comedy",5.1,107,$0.36M,"$257,753,889",50,"10,441","Two professors team up to locate a lost treasure and embark on an adventure that takes them from a Tibetan ice cave to Dubai, and to a mountain temple in India."
Annabelle,2014,"Horror,Mystery,Thriller",5.4,99,$84.27M,"$257,589,721",37,"159,474",A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.
Encanto,2021,"Animation,Comedy,Family",7.2,102,$96.09M,"$256,718,560",75,"215,996",A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.
The Village,2004,"Drama,Mystery,Thriller",6.6,108,$114.20M,"$256,697,520",44,"261,770",A series of events tests the beliefs of a small isolated countryside village.
Gang jiong,2015,"Action,Adventure,Comedy",5.4,114,$1.30M,"$256,283,912",******,"1,708","The film follows Xu Lai, a former artist whose dreams were dashed when the responsibilities of life set in. With his life now revolving around his wife Cai Bo who is obsessed with having ...                See full summary »"
Erin Brockovich,2000,"Biography,Drama",7.4,131,$125.60M,"$256,271,286",73,"198,063",An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.
Fei chi ren sheng,2019,"Comedy,Sport",6.3,98,******,"$255,863,112",******,"1,879",An old-time racing champion tries to come back to the race track.
Get Out,2017,"Horror,Mystery,Thriller",7.7,104,$176.04M,"$255,745,157",85,"598,580","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
Marley & Me,2008,"Comedy,Drama,Family",7.0,111,$143.15M,"$255,743,093",53,"158,913","A family learns important life lessons from their adorable, but naughty and neurotic dog."
Halloween,2018,"Crime,Horror,Thriller",6.5,106,$159.34M,"$255,614,941",67,"151,270","Laurie Strode confronts her long-time foe, Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago."
Us,2019,"Horror,Mystery,Thriller",6.8,116,$175.08M,"$255,228,914",81,"294,642",A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.
Cliffhanger,1993,"Action,Adventure,Thriller",6.5,113,$84.05M,"$255,000,211",60,"130,555",A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.
Baahubali 2: The Conclusion,2017,"Action,Drama",8.2,167,$20.19M,"$254,158,390",******,"100,479","When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom."
Babe,1995,"Comedy,Drama,Family",6.9,91,$66.60M,"$254,134,910",83,"125,993","Babe, a pig raised by sheepdogs on a rural English farm, learns to herd sheep with a little help from Farmer Hoggett."
Men in Black: International,2019,"Action,Adventure,Comedy",5.6,114,$80.00M,"$253,890,701",38,"134,497","The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest threat to date: a mole in the Men in Black organization."
Wild Hogs,2007,"Action,Adventure,Comedy",5.8,100,$168.27M,"$253,625,427",27,"119,295","A group of suburban biker wannabes looking for adventure hit the open road, but get more than they bargained for when they encounter a New Mexico gang called the Del Fuegos."
High School Musical 3: Senior Year,2008,"Comedy,Drama,Family",4.9,112,$90.56M,"$252,909,177",57,"63,173","As seniors in high school, Troy and Gabriella struggle with the idea of being separated from one another as college approaches. Along with the rest of the Wildcats, they stage a spring musical to address their experiences, hopes and fears about their future."
Hercules,1997,"Animation,Adventure,Comedy",7.3,93,$99.05M,"$252,712,101",74,"231,152",The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.
Dark Phoenix,2019,"Action,Adventure,Sci-Fi",5.7,113,$65.85M,"$252,442,974",43,"186,645","Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to decide if her life is worth more than all of humanity."
True Grit,2010,"Drama,Western",7.6,110,$171.24M,"$252,276,927",80,"338,844",A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.
Dolittle,2020,"Adventure,Comedy,Family",5.6,101,$77.05M,"$251,410,631",26,"64,710",A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.
Bean,1997,"Adventure,Comedy,Family",6.5,89,$45.32M,"$251,212,670",52,"105,606",The bumbling Mr. Bean travels to America when he is given the responsibility of bringing a highly valuable painting to a Los Angeles museum.
American Hustle,2013,"Crime,Drama",7.2,138,$150.12M,"$251,171,807",90,"478,163","A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia."
Enemy of the State,1998,"Action,Thriller",7.3,132,$111.55M,"$250,849,789",67,"244,745",A lawyer becomes targeted by a corrupt politician and his N.S.A. goons when he accidentally receives key evidence to a politically motivated crime.
You've Got Mail,1998,"Comedy,Drama,Romance",6.7,119,$115.82M,"$250,821,495",57,"214,320","Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet both blissfully unaware that he's trying to put her out of business."
Eragon,2006,"Action,Adventure,Family",5.1,104,$75.03M,"$250,425,512",38,"126,892","In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realizes he's the one person who can defend his home against an evil king."
Brother Bear,2003,"Animation,Adventure,Comedy",6.8,85,$85.34M,"$250,397,798",48,"111,233","When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back."
The Godfather,1972,"Crime,Drama",9.2,175,$134.97M,"$250,341,816",100,"1,837,508",The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
The Mask of Zorro,1998,"Action,Adventure,Comedy",6.8,136,$94.10M,"$250,288,523",63,"184,739","A young thief seeking revenge for his brother's death is trained by the once-great, aging Zorro, who is pursuing his own vengeance."
The Ring,2002,"Horror,Mystery",7.1,115,$129.13M,"$249,348,933",57,"349,196",A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.
The Blair Witch Project,1999,"Horror,Mystery",6.5,81,$140.54M,"$248,639,099",81,"260,578","Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind."
Unbreakable,2000,"Drama,Mystery,Sci-Fi",7.3,106,$95.01M,"$248,118,121",62,"417,360",A man learns something extraordinary about himself after a devastating accident.
Journey to the West: Demon Chapter,2017,"Adventure,Comedy,Family",5.4,109,$0.88M,"$247,585,244",59,"3,223",A monk and his three disciples continue on their journey to battle demons.
Dumb and Dumber,1994,Comedy,7.3,107,$127.18M,"$247,290,327",41,"384,683","After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen to return it."
Glass,2019,"Drama,Horror,Sci-Fi",6.6,129,$111.05M,"$246,999,039",43,"242,398","Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities."
Grown Ups 2,2013,Comedy,5.3,101,$133.67M,"$246,984,278",19,"155,190","After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and four hundred costumed party crashers sometimes crazy follows you."
The Peanuts Movie,2015,"Animation,Adventure,Comedy",7.0,88,$130.18M,"$246,233,113",67,"46,367","Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life."
Rango,2011,"Animation,Action,Adventure",7.2,107,$123.48M,"$245,724,603",75,"265,169","Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff."
The Bad Guys,2022,"Animation,Adventure,Comedy",6.8,100,******,"$245,713,440",64,"34,976","To avoid prison, a gang of notorious animal criminals pretend to seek being rehabilitated, only for their leader to secretly find that he genuinely wants to change his ways."
Four Weddings and a Funeral,1994,"Comedy,Drama,Romance",7.1,117,$52.70M,"$245,700,832",81,"153,235","Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love."
Face/Off,1997,"Action,Crime,Sci-Fi",7.3,138,$112.23M,"$245,676,146",82,"377,112","To foil a terrorist plot, an FBI agent undergoes facial transplant surgery to assume the identity of the criminal mastermind who murdered his only son, but the criminal wakes up prematurely and seeks revenge."
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,"Action,Adventure,Comedy",5.9,112,$82.05M,"$245,623,848",40,"93,519","The Turtles get into another battle with their enemy the Shredder, who has acquired new allies: the mutant thugs Bebop and Rocksteady and the alien being Krang."
Dark Shadows,2012,"Comedy,Fantasy,Horror",6.2,113,$79.73M,"$245,527,149",55,"267,793","An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection."
Hulk,2003,"Action,Sci-Fi",5.6,138,$132.18M,"$245,285,165",54,"268,427","Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry."
Love Actually,2003,"Comedy,Drama,Romance",7.6,135,$59.70M,"$245,203,167",55,"479,093","Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
Lie huo ying xiong,2019,"Action,Drama,Family",5.7,118,$0.29M,"$245,179,562",******,996,Chinese firefighters struggle to contain a huge fire after an oil pipeline explodes.
